Month_Year,Australian Citizen Arrivals,Non-Australian Citizen Arrivals
1-6-18,713730,800940
1-7-18,1017380,992640
1-8-18,811120,909240
1-9-18,859310,864730
1-10-18,1013830,954240
1-11-18,711460,958360
1-12-18,691500,1163780
1-1-19,1151960,1065870
1-2-19,629280,1164110
1-3-19,654110,1009880
1-4-19,809630,904920
1-5-19,750600,839360
1-6-19,739530,823560
1-7-19,1009170,1004010
1-8-19,823500,961590
1-9-19,873520,875750
1-10-19,1013740,969180
1-11-19,746080,978440
1-12-19,709350,1183090
1-1-20,1160610,1098340
1-2-20,664990,906500
1-3-20,476430,447550
1-4-20,15060,6560
1-5-20,11110,8290
1-6-20,14070,11700
1-7-20,10700,7580
1-8-20,8790,6650
1-9-20,8900,7820
1-10-20,12280,12430
1-11-20,15500,14270
1-12-20,17820,17300
1-1-21,14140,17550
1-2-21,11510,14320
1-3-21,14300,18600
1-4-21,19590,35210
1-5-21,44570,71060
1-6-21,40490,62960
