Country of citizenship,Year,Number of arrivals
New Zealand,2019,144970
New Zealand,2020,2740
New Zealand,2021,43780
United Kingdom,2019,50640
United Kingdom,2020,800
United Kingdom,2021,2150
China,2019,107030
China,2020,1190
China,2021,1880
India,2019,53800
India,2020,1370
India,2021,1820
United States of America,2019,62000
United States of America,2020,460
United States of America,2021,1290
Philippines,2019,20480
Philippines,2020,290
Philippines,2021,870
Vanuatu,2019,810
Vanuatu,2020,0
Vanuatu,2021,770
Samoa,2019,570
Samoa,2020,0
Samoa,2021,530
France,2019,14740
France,2020,110
France,2021,410
South Africa,2019,5870
South Africa,2020,330
South Africa,2021,370
